feature A,feature B,feature C,feature D,label
-5.9034,6.5679,0.67661,-6.6797,1
4.2969,7.617,-2.3874,-0.96164,0
2.877,-4.0599,3.6259,-0.32544,0
1.9818,9.2621,-3.521,-1.872,0
2.6719,3.0646,0.37158,0.58619,0
-2.3629,-0.10554,1.9336,1.1358,1
-3,-9.1566,9.5766,-0.73018,1
-2.4473,12.6247,0.73573,-7.6612,0
0.3798,0.7098,0.7572,-0.4444,0
-4.3773,-5.5167,10.939,-0.4082,1
3.7731,7.2073,-1.6814,-0.94742,0
1.1432,-3.7413,5.5777,-0.63578,0
1.6849,8.7489,-1.2641,-1.3858,0
-1.7781,0.8546,7.1303,0.027572,0
3.0009,5.8126,-2.2306,-0.66553,0
3.6244,1.4609,1.3501,1.9284,0
2.108,6.7955,-0.1708,0.4905,0
-2.0066,-6.719,9.0162,0.099985,1
-2.2183,-1.254,2.9986,0.36378,1
0.20977,-0.46146,7.7267,0.90946,0
-5.4414,7.2363,0.10938,-7.5642,1
0.56232,1.0015,-2.2726,-0.0060486,1
2.1274,5.1939,-1.7971,-1.1763,0
1.0607,2.4542,2.5188,-0.17027,0
0.11806,0.39108,-0.98223,0.42843,1
-4.0786,2.9239,0.87026,-0.65389,1
4.3848,-3.0729,3.0423,1.2741,0
3.0948,8.7324,-2.9007,-0.96682,0
0.64215,3.1287,4.2933,0.64696,0
2.9742,8.96,-2.9024,-1.0379,0
5.7867,7.8902,-2.6196,-0.48708,0
-2.7908,-5.7133,5.953,0.45946,1
0.39012,-0.14279,-0.031994,0.35084,1
-2.4365,3.6026,-1.4166,-2.8948,1
4.0215,-2.7004,2.4957,0.36636,0
-2.0631,-1.5147,1.219,0.44524,1
2.5605,9.2683,-3.5913,-1.356,0
2.5678,3.5136,0.61406,-0.40691,0
-2.6479,10.1374,-1.331,-5.4707,0
-1.7279,-6.841,8.9494,0.68058,1
-1.5222,10.8409,2.7827,-4.0974,0
2.8561,6.9176,-0.79372,0.48403,0
-0.24745,1.9368,-2.4697,-0.80518,1
3.7758,7.1783,-1.5195,0.40128,0
3.3848,3.2674,0.90967,0.25128,0
-1.5681,-7.2446,6.5537,-0.1276,1
0.21431,-0.69529,0.87711,0.29653,1
-2.9662,-10.3257,8.784,-2.1138,1
1.8205,6.7562,0.0099913,0.39481,0
3.5156,10.1891,-4.2759,-4.978,0
0.86202,2.6963,4.2908,0.54739,0
-1.1804,11.5093,0.15565,-6.8194,0
3.5499,8.6165,-3.2794,-1.2009,0
4.8077,2.2327,-0.26334,1.5534,0
2.0051,-6.8638,8.132,-0.2401,0
0.96441,5.8395,2.3235,0.066365,0
0.74841,7.2756,1.1504,-0.5388,0
2.1059,7.6046,-0.47755,-1.8461,0
3.5438,1.2395,1.997,2.1547,0
-2.1979,-2.1252,1.7151,0.45171,1
2.5581,2.6218,1.8513,0.40257,0
-2.5373,-6.959,8.8054,1.5289,1
1.2616,4.4303,-1.3335,-1.7517,0
-0.77461,-1.8768,2.4023,1.1319,1
-1.6386,3.3584,-1.7302,-3.5646,1
1.2572,4.8731,-5.2861,-5.8741,1
4.0552,-2.4583,2.2806,1.0323,0
-0.71868,-5.7154,3.8298,1.0233,1
-2.799,1.9679,-0.42357,-2.1125,1
-2.0662,0.16967,-1.0054,-0.82975,1
3.3004,7.0811,-1.3258,0.22283,0
3.9772,0.33521,2.2566,2.1625,0
3.5257,1.2829,1.9276,1.7991,0
5.4021,3.1039,-1.1536,1.5651,0
4.1605,11.2196,-3.6136,-4.0819,0
2.6562,10.7044,-3.3085,-4.0767,0
5.0297,-4.9704,3.5025,-0.23751,0
-2.7611,-10.5099,9.0239,-1.9547,1
5.0691,0.21313,0.20278,1.2095,0
-0.69078,-0.50077,-0.35417,0.47498,1
3.9922,-4.4676,3.7304,-0.1095,0
-6.5235,9.6014,-0.25392,-6.9642,1
2.5989,3.5178,0.7623,0.81119,0
-1.0941,2.3072,-2.5237,-1.4453,1
-2.9146,4.0537,-0.45699,-4.0327,1
-0.52645,-0.24832,-0.45613,0.41938,1
1.8993,7.6625,0.15394,-3.1108,0
3.8384,6.1851,-2.0439,-0.033204,0
2.2123,-5.8395,7.7687,-0.85302,0
1.0987,0.6394,5.989,-0.58277,0
4.4072,-0.070365,2.0416,1.1319,0
1.1166,8.6496,-0.96252,-1.8112,0
4.1542,7.2756,-2.4766,-1.2099,0
-1.5877,-6.6072,5.8022,0.31593,1
2.614,8.0081,-3.7258,-1.3069,0
-2.4604,12.7302,0.91738,-7.6418,0
4.616,10.1788,-4.2185,-4.4245,0
6.8248,5.2187,-2.5425,0.5461,0
-3.7244,1.9037,-0.035421,-2.5095,1
2.8261,9.4007,-3.3034,-1.0509,0
0.26637,0.73252,-0.67891,0.03533,1
4.4682,2.2907,0.95766,0.83058,0
-2.4725,-0.40145,1.4855,1.1189,1
-2.3983,12.606,2.9464,-5.7888,0
5.2032,3.5116,-1.2538,1.0129,0
0.5195,-3.2633,3.0895,-0.9849,0
2.6606,3.1681,1.9619,0.18662,0
-4.2932,3.3419,0.77258,-0.99785,1
-1.0112,2.9984,-1.1664,-1.6185,1
1.5631,0.89599,-1.9702,0.65472,1
-1.3971,3.3191,-1.3927,-1.9948,1
-4.6338,-12.7509,16.7166,-3.2168,1
-2.341,12.3784,0.70403,-7.5836,0
0.76163,5.8209,1.1959,-0.64613,0
1.934,-9.28E-06,4.816,-0.33967,0
1.8799,2.4707,2.4931,0.37671,0
2.2504,3.5757,0.35273,0.2836,0
5.7403,-0.44284,0.38015,1.3763,0
-3.3203,-0.02691,2.9618,-0.44958,1
-3.506,-12.5667,15.1606,-0.75216,1
3.5251,0.7201,1.6928,0.64438,0
-1.5228,-6.4789,5.7568,0.87325,1
2.5817,9.7546,-3.1749,-2.9957,0
3.3951,1.1484,2.1401,2.0862,0
-4.211,-12.4736,14.9704,-1.3884,1
0.11739,6.2761,-1.5495,-2.4746,0
2.2034,5.9947,0.53009,0.84998,0
0.83292,7.5404,0.65005,-0.92544,0
-0.89542,2.0279,-2.3652,-1.2746,1
2.1948,1.3781,1.1582,0.85774,0
0.31803,-0.99326,1.0947,0.88619,1
0.74054,0.36625,2.1992,0.48403,0
1.0235,6.901,-2.0062,-2.7125,0
-0.40857,3.0977,-2.9607,-2.6892,1
3.2032,5.7588,-0.75345,-0.61251,0
0.49665,5.527,1.7785,-0.47156,0
1.7425,3.6833,-4.0129,-1.7207,1
-2.0545,-10.8679,9.4926,-1.4116,1
4.052,-0.16555,0.45383,0.51248,0
2.8521,9.171,-3.6461,-1.2047,0
-0.97325,-6.4168,5.6026,1.0323,1
-2.484,12.1611,2.8204,-3.7418,0
3.3669,-5.1856,3.6935,-1.1427,0
-2.4835,-7.4494,6.8964,-0.64484,1
4.0102,10.6568,-4.1388,-5.0646,0
-2.7914,1.7734,6.7756,-0.39915,0
1.1472,3.5985,1.9387,-0.43406,0
-2.2482,3.0915,-2.3969,-2.6711,1
3.2692,3.4184,0.20706,-0.066824,0
3.4893,6.69,-1.2042,-0.38751,0
0.045304,6.7334,1.0708,-0.9332,0
1.0637,3.6957,-4.1594,-1.9379,1
-3.5985,-13.6593,17.6052,-2.4927,1
-3.8483,-12.8047,15.6824,-1.281,1
4.2475,1.4816,-0.48355,0.95343,0
-1.7064,3.3088,-2.2829,-2.1978,1
3.7635,2.7811,0.66119,0.34179,0
-1.522,-6.6383,5.7491,-0.10691,1
3.5982,7.1307,-1.3035,0.21248,0
-2.3797,-1.4402,1.1273,0.16076,1
-0.4294,-0.14693,0.044265,-0.15605,1
4.0972,0.46972,1.6671,0.91593,0
4.2899,9.1814,-4.6067,-4.3263,0
2.2429,-4.1427,5.2333,-0.40173,0
0.29961,7.1328,-0.31475,-1.1828,0
-0.56877,1.4174,-1.4252,-1.1246,1
3.106,9.5414,-4.2536,-4.003,0
-3.1128,-6.841,10.7402,-1.0172,1
-4.0025,-13.4979,17.6772,-3.3202,1
2.031,1.852,-3.0121,0.003003,1
3.4985,3.1639,0.22677,-0.1651,0
-1.4628,-1.5706,2.4357,0.49826,1
1.8238,-6.7748,8.3873,-0.54139,0
-1.8584,7.886,-1.6643,-1.8384,0
-4.4018,-12.9371,15.6559,-1.6806,1
-3.9933,2.6218,0.62863,-1.1595,1
0.5706,-0.0248,1.2421,-0.5621,0
3.7522,-3.6978,3.9943,1.3051,0
-3.8858,-12.8461,12.7957,-3.1353,1
3.2422,6.2265,0.12224,-1.4466,0
3.4359,0.66216,2.1041,1.8922,0
2.8232,10.8513,-3.1466,-3.9784,0
0.74307,11.17,-1.3824,-4.0728,0
-3.3863,-12.9889,13.0545,-2.7202,1
1.7317,-0.34765,4.1905,-0.99138,0
1.9358,8.1654,-0.023425,-2.2586,0
3.0672,-4.4117,3.8238,-0.81682,0
-4.4775,-13.0303,17.0834,-3.0345,1
-1.1313,1.9037,7.5339,1.022,0
3.1219,-3.137,1.9259,-0.37458,0
5.1213,8.5565,-3.3917,-1.5474,0
-2.8833,1.7713,0.68946,-0.4638,1
-0.61442,-0.091058,-0.31818,0.50214,1
0.25943,5.0097,-5.0394,-6.3862,1
4.0446,11.1741,-4.3582,-4.7401,0
2.5635,6.7769,-0.61979,0.38576,0
3.8027,0.81529,2.1041,1.0245,0
3.5189,6.332,-1.7791,-0.020273,0
0.91315,3.3377,-4.0557,-1.6741,1
4.1736,3.3336,-1.4244,0.60429,0
3.3299,0.91254,1.5806,0.39352,0
-5.525,6.3258,0.89768,-6.6241,1
-4.2859,8.5234,3.1392,-0.91639,0
-3.3604,-0.32696,2.1324,0.6017,1
4.2756,-2.6528,2.1375,0.94437,0
4.3937,0.35798,2.0416,1.2004,0
3.8197,8.9951,-4.383,-4.0327,0
-3.0265,-0.062088,0.68604,-0.055186,1
0.50813,0.47799,-1.9804,0.57714,1
1.5673,7.9274,-0.056842,-2.1694,0
1.164,3.913,-4.5544,-3.8672,1
-2.6685,-10.4519,9.1139,-1.7323,1
0.80355,2.8473,4.3439,0.6017,0
-3.0986,-10.4602,8.9717,-2.3427,1
5.8862,5.8747,-2.8167,-0.30087,0
-5.1216,-5.3118,10.3846,-1.0612,1
3.5594,1.3078,1.291,1.6556,0
-3.9204,4.0723,-0.23678,-2.1151,1
4.7181,10.0153,-3.9486,-3.8582,0
3.7982,10.423,-4.1602,-4.9728,0
-3.0799,0.60836,2.7039,-0.23751,1
1.762,4.3682,2.1384,0.75429,0
-2.9098,-10.0712,8.4156,-1.9948,1
2.1881,2.7356,1.3278,-0.1832,0
-2.0042,-9.3676,9.3333,-0.10303,1
2.486,-0.99533,5.3404,-0.15475,0
0.88444,6.5906,0.55837,-0.44182,0
4.6464,10.5326,-4.5852,-4.206,0
4.2586,11.2962,-4.0943,-4.3457,0
4.3398,-5.3036,3.8803,-0.70432,0
-2.2527,11.5321,2.5899,-3.2737,0
-2.588,3.8654,-0.3336,-1.2797,1
-5.8818,7.6584,0.5558,-2.9155,1
0.24835,7.6439,0.9885,-0.87371,0
-1.3968,-9.6698,9.4652,-0.34872,1
1.9647,6.9383,0.57722,0.66377,0
0.40614,1.3492,-1.4501,-0.55949,1
1.941,0.46351,4.6472,1.0879,0
-1.0292,-6.3879,5.5255,0.79955,1
-2.3518,-4.8359,6.6479,-0.060358,1
-0.49081,2.8452,-3.6436,-3.1004,1
-2.1652,3.0211,-2.4132,-2.4241,1
-1.6662,-0.30005,1.4238,0.024986,1
2.6104,8.0081,-0.23592,-1.7608,0
-2.7769,-5.6967,5.9179,0.37671,1
3.534,9.3614,-3.6316,-1.2461,0
0.20216,1.9182,-3.2828,-0.61768,1
-1.749,-6.332,6.0987,0.14266,1
-3.5895,-6.572,10.5251,-0.16381,1
-2.62,-6.8555,6.2169,-0.62285,1
5.262,3.9834,-1.5572,1.0103,0
3.8023,-3.8696,4.044,0.95343,0
-1.3995,-1.9162,2.5154,0.59912,1
4.65,-4.8297,3.4553,-0.25174,0
0.22432,-0.52147,-0.40386,1.2017,1
5.681,7.795,-2.6848,-0.92544,0
-0.3481,-0.38696,-0.47841,0.62627,1
2.565,8.633,-2.9941,-1.3082,0
0.14783,7.946,1.0742,-3.3409,0
3.9364,10.5885,-3.725,-4.3133,0
0.32924,-4.4552,4.5718,-0.9888,0
-0.41965,2.9094,-1.7859,-2.2069,1
-5.1661,8.0433,0.044265,-4.4983,1
-0.9854,-6.661,5.8245,0.5461,1
-3.8203,-13.0551,16.9583,-2.3052,1
-2.1802,3.3791,-1.2256,-2.6621,1
-2.4115,-9.1359,9.3444,-0.65259,1
4.5645,-3.6275,2.8684,0.27714,0
3.7831,10.0526,-3.8869,-3.7366,0
-6.9599,8.9931,0.2182,-4.572,1
-1.9922,11.6542,2.6542,-5.2107,0
1.5456,8.5482,0.4187,-2.1784,0
-4.4996,3.4288,0.56265,-1.1672,1
4.2772,2.4955,0.48554,0.36119,0
0.63655,5.2022,-5.2159,-6.1211,1
-4.7462,3.1205,1.075,-1.2966,1
3.6181,-3.7454,2.8273,-0.71208,0
1.3518,1.0595,-2.3437,0.39998,1
0.86816,10.2429,-1.4912,-4.0082,0
3.1896,5.7526,-0.18537,-0.30087,0
5.4188,10.1457,-4.084,-3.6991,0
0.89512,4.7738,-4.8431,-5.5909,1
0.92703,9.4318,-0.66263,-1.6728,0
-0.82053,0.65181,-0.48869,-0.52716,1
2.9499,2.2493,1.3458,-0.037083,0
4.1349,6.1189,-2.4294,-0.19613,0
-4.4861,-13.2889,17.3087,-3.2194,1
-3.0731,-0.53181,2.3877,0.77627,1
4.0552,0.40143,1.4563,0.65343,0
-1.9409,-8.6848,9.155,0.94049,1
0.3434,0.12415,-0.28733,0.14654,1
-1.6952,1.0657,8.8294,0.94955,0
4.9264,5.496,-2.4774,-0.50648,0
1.6799,4.2068,-4.5398,-2.3931,1
3.4663,1.1112,1.7425,1.3388,0
3.6922,-3.9585,4.3439,1.3517,0
4.5691,-4.4552,3.1769,0.0042961,0
3.5862,-3.0957,2.8093,0.24481,0
1.3566,4.2358,2.1341,0.3211,0
3.4566,9.5228,-4.0112,-3.5944,0
3.583,-3.7971,3.4391,-0.12501,0
0.39559,6.8866,1.0588,-0.67587,0
-1.5768,10.843,2.5462,-2.9362,0
0.6818,4.8504,-5.2133,-6.1043,1
0.72252,-0.053811,5.6703,-1.3509,0
1.0135,8.4551,-1.672,-2.0815,0
1.4479,-4.8794,8.3428,-2.1086,0
-1.7713,-10.7665,10.2184,-1.0043,1
0.93611,8.6413,-1.6351,-1.3043,0
-0.62684,-6.301,4.7843,1.106,1
-0.90784,-7.9026,6.7807,0.34179,1
-0.96511,9.4111,1.7305,-4.8629,0
-0.75793,2.5349,-3.0464,-1.2629,1
-2.4953,11.1472,1.9353,-3.4638,0
3.9994,0.90427,1.1693,1.6892,0
1.6349,3.286,2.8753,0.087054,0
2.6881,6.0195,-0.46641,-0.69268,0
2.9163,10.8306,-3.3437,-4.122,0
0.66365,-0.045533,-0.18794,0.23447,1
-2.0897,10.8265,2.3603,-3.4198,0
-1.6176,1.0926,-0.35502,-0.59958,1
4.7072,8.2957,-2.5605,-1.4905,0
0.96574,8.393,-1.361,-1.4659,0
-2.4554,-9.0407,8.862,-0.86983,1
-1.2369,-1.6906,2.518,0.51636,1
-0.048008,-0.56078,7.7215,0.453,0
1.1315,7.9212,1.093,-2.8444,0
0.33565,6.8369,0.69718,-0.55691,0
3.4805,9.7008,-3.7541,-3.4379,0
2.4008,9.3593,-3.3565,-3.3526,0
2.9856,7.2673,-0.409,-2.2431,0
0.062525,2.9301,-3.5467,-2.6737,1
-1.8782,-6.5865,4.8486,-0.021566,1
-2.9883,0.31245,0.45041,0.068951,1
-0.36372,3.0439,-3.4816,-2.7836,1
-3.0866,-6.6362,10.5405,-0.89182,1
3.8244,-3.1081,2.4537,0.52024,0
-6.1632,8.7096,-0.21621,-3.6345,1
2.7296,2.8701,0.51124,0.5099,0
1.8384,6.063,0.54723,0.51248,0
3.245,6.63,-0.63435,0.86937,0
3.4626,-4.449,3.5427,0.15429,0
-2.2804,-0.30626,1.3347,1.3763,1
0.85574,0.0082678,6.6042,-0.53104,0
-4.3667,6.0692,0.57208,-5.4668,1
-1.682,-6.8121,7.1398,1.3323,1
5.3586,3.7557,-1.7345,1.0789,0
-2.659,-1.6058,1.3647,0.16464,1
-1.4427,3.2922,-1.9702,-3.4392,1
-1.3066,0.25244,0.7623,1.7758,1
3.404,8.7261,-2.9915,-0.57242,0
3.9719,1.0367,0.75973,1.0013,0
4.4295,-2.3507,1.7048,0.90946,0
-3.6085,3.3253,-0.51954,-3.5737,1
-1.8554,-9.6035,7.7764,-0.97716,1
-2.1668,1.5933,0.045122,-1.678,1
2.0962,2.4769,1.9379,-0.040962,0
-1.8439,-8.6475,7.6796,-0.66682,1
-1.3887,-4.8773,6.4774,0.34179,1
-2.1786,-6.4479,6.0344,-0.20777,1
-1.5322,-5.0966,6.6779,0.17498,1
4.2134,-2.806,2.0116,0.67412,0
-1.6641,-1.3678,1.997,0.52283,1
-2.565,-5.7899,6.0122,0.046968,1
5.504,10.3671,-4.413,-4.0211,0
2.7391,7.4018,0.071684,-2.5302,0
2.8523,9.0096,-3.761,-3.3371,0
-1.7886,-6.3486,5.6154,0.42584,1
-0.27802,8.1881,-3.1338,-2.5276,0
-4.0218,-8.304,12.555,-1.5099,1
4.1195,10.9258,-3.8929,-4.1802,0
1.3087,4.9228,2.0013,0.22024,0
-2.6479,10.1374,-1.331,-5.4707,0
0.68087,2.3259,4.9085,0.54998,0
5.807,5.0097,-2.2384,0.43878,0
4.9852,8.3516,-2.5425,-1.2823,0
1.0552,1.1857,-2.6411,0.11033,1
-0.025314,-0.17383,-0.11339,1.2198,1
1.105,7.4432,0.41099,-3.0332,0
-0.39416,-0.020702,-0.066267,-0.44699,1
3.8584,0.78425,1.1033,1.7008,0
4.0329,0.23175,0.89082,1.1823,0
2.549,6.1499,-1.1605,-1.2371,0
3.6077,6.8576,-1.1622,0.28231,0
4.0932,5.4132,-1.8219,0.23576,0
-2.234,-7.0314,7.4936,0.61334,1
5.438,9.4669,-4.9417,-3.9202,0
0.26517,2.4066,-2.8416,-0.59958,1
2.1721,-0.73874,5.4672,-0.72371,0
1.3349,6.1189,0.46497,0.49826,0
-2.2214,-0.23798,0.56008,0.05602,1
-1.6988,-7.1163,5.7902,0.16723,1
2.0007,1.8644,2.6491,0.47369,0
1.0182,9.109,-0.62064,-1.7129,0
-1.8448,1.254,0.27218,-1.0728,1
0.5706,-0.024841,1.2421,-0.56208,0
-3.2305,-7.2135,11.6433,-0.94613,1
0.96414,5.616,2.2138,-0.12501,0
-1.9725,2.8825,-2.3086,-2.3724,1
1.3754,8.8793,-1.9136,-0.53751,0
-0.49281,3.0605,-1.8356,-2.834,1
4.2406,-2.4852,1.608,0.7155,0
2.5331,2.9135,-0.822,-0.12243,0
-1.3414,-1.9162,-0.15538,-0.11984,1
