feature A,feature B,feature C,feature D,label
-4.577,3.4515,0.66719,-0.94742,1
4.4338,9.887,-4.6795,-3.7483,0
2.994,7.2011,-1.2153,0.3211,0
-1.1859,-1.2519,2.2635,0.77239,1
0.64295,7.1018,0.3493,-0.41337,0
-4.1958,-8.1819,12.1291,-1.6017,1
-0.51003,-0.23591,0.020273,0.76334,1
-4.2887,-7.8633,11.8387,-1.8978,1
-1.2792,2.1376,-0.47584,-1.3974,1
-0.36025,-4.449,2.1067,0.94308,1
-1.0401,9.3987,0.85998,-5.3336,0
2.8969,0.70768,2.29,1.8663,0
-1.5732,1.0636,-0.71232,-0.8388,1
0.3292,-4.4552,4.5718,-0.9888,0
-1.5055,0.070346,6.8681,-0.50648,0
0.025013,3.3998,-4.4327,-4.2655,1
-1.8348,11.0334,3.1863,-4.8888,0
-3.3458,-0.50491,2.6328,0.53705,1
0.52374,3.644,-4.0746,-1.9909,1
3.8962,-4.7904,3.3954,-0.53751,0
-0.21661,8.0329,1.8848,-3.8853,0
-2.9821,4.1986,-0.5898,-3.9642,1
-2.2617,-4.7428,6.3489,0.11162,1
-2.7723,3.2777,-0.9351,-3.1457,1
2.9695,5.6222,0.27561,-1.1556,0
0.18868,0.70148,-0.51182,0.0055892,1
5.2423,11.0272,-4.353,-4.1013,0
1.3183,1.9017,-3.3111,0.065071,1
-4.3876,-7.7267,11.9655,-1.4543,1
-0.16682,5.8974,0.49839,-0.70044,0
5.0617,-0.35799,0.44698,0.99868,0
-3.8826,4.898,-0.92311,-5.0801,1
4.3239,-4.8835,3.4356,-0.5776,0
4.6499,7.6336,-1.9427,-0.37458,0
-0.8172,3.3812,-3.6684,-3.456,1
-0.278,8.1881,-3.1338,-2.5276,0
-1.7582,2.7397,-2.5323,-2.234,1
-4.6765,-5.6636,10.969,-0.33449,1
0.81583,4.84,-5.2613,-6.0823,1
1.9157,6.0816,0.23705,-2.0116,0
-1.1306,1.8458,-1.3575,-1.3806,1
2.9719,6.8369,-0.2702,0.71291,0
3.4092,5.4049,-2.5228,-0.89958,0
-3.2778,1.8023,0.1805,-2.3931,1
-0.83535,0.80494,-1.6411,-0.19225,1
-2.41,3.7433,-0.40215,-1.2953,1
5.9374,6.1664,-2.5905,-0.36553,0
0.58836,10.7727,-1.3884,-4.3276,0
1.162,10.2926,-1.2821,-4.0392,0
-2.7083,-6.8266,7.5339,0.59007,1
3.6582,5.6864,-1.7157,-0.23751,0
-2.2677,3.2964,-2.2563,-2.4642,1
-3.793,-12.7095,12.7957,-2.825,1
3.4776,8.811,-3.1886,-0.92285,0
0.9297,-3.7971,4.6429,-0.2957,0
4.9342,2.4107,-0.17594,1.6245,0
2.8084,11.3045,-3.3394,-4.4194,0
-1.7104,-4.778,6.2109,0.3974,1
-2.8957,-12.0205,11.9149,-2.7552,1
4.8272,3.0687,0.68604,0.80731,0
4.1425,-3.6792,3.8281,1.6297,0
2.2893,3.733,0.6312,-0.39786,0
0.96788,7.1907,1.2798,-2.4565,0
-6.3679,8.0102,0.4247,-3.2207,1
3.9292,-2.9156,2.2129,0.30817,0
1.594,4.7055,1.3758,0.081882,0
-3.8953,4.0392,-0.3019,-2.1836,1
-4.0214,-12.8006,15.6199,-0.95647,1
5.1129,-0.49871,0.62863,1.1189,0
1.2138,8.7986,-2.1672,-0.74182,0
4.1962,0.74493,0.83256,0.753,0
2.4196,6.4665,-0.75688,0.228,0
1.6032,-4.7863,8.5193,-2.1203,0
-2.1405,-0.16762,1.321,-0.20906,1
-1.3,10.2678,-2.953,-5.8638,0
0.27451,9.2186,-3.2863,-4.8448,0
-1.3946,2.3134,-0.44499,-1.4905,1
-3.1273,-7.1121,11.3897,-0.083634,1
4.4549,2.4976,1.0313,0.96894,0
-1.786,-8.1157,7.0858,-1.2112,1
1.1644,3.8095,-4.9408,-4.0909,1
-0.69572,8.6165,1.8419,-4.3289,0
-1.6244,-6.3444,4.6575,0.16981,1
1.4884,3.6274,3.308,0.48921,0
-5.0301,7.5032,-0.13396,-7.5034,1
-0.40804,0.54214,-0.52725,0.6586,1
-1.4454,-8.4385,8.8483,0.96894,1
3.8905,-2.1521,2.6302,1.1047,0
0.89606,10.5471,-1.4175,-4.0327,0
0.55939,-0.3104,0.18307,0.44653,1
0.5706,-0.0248,1.2421,-0.5621,0
-1.8387,-6.301,5.6506,0.19567,1
5.7227,5.8312,-2.4097,-0.24527,0
5.4944,1.5478,0.041694,1.9284,0
2.0922,-6.81,8.4636,-0.60216,0
3.2414,0.40971,1.4015,1.1952,0
-2.4349,-9.2497,8.9922,-0.50001,1
3.5912,3.0129,0.72888,0.56421,0
-1.2528,10.2036,2.1787,-5.6038,0
-1.1188,3.3357,-1.3455,-1.9573,1
-0.12196,8.8068,0.94566,-4.2267,0
4.2027,0.22761,0.96108,0.97282,0
-3.7747,2.5162,0.83341,-0.30993,1
2.4226,-4.5752,5.947,0.21507,0
1.7496,-0.1759,5.1827,1.2922,0
0.37637,-0.82358,0.78543,0.74524,1
-0.74324,-0.32902,-0.42785,0.23317,1
1.2999,2.5762,2.0107,-0.18967,0
3.8213,0.23175,2.0133,2.0564,0
-3.5933,0.22968,0.7126,-0.3332,1
-1.239,-6.541,4.8151,-0.033204,1
-4.4779,7.3708,-0.31218,-6.7754,1
0.77124,9.0862,-1.2281,-1.4996,0
0.86736,5.5643,1.6765,-0.16769,0
5.6084,10.3009,-4.8003,-4.3534,0
4.6014,5.6264,-2.1235,0.19309,0
1.518,5.6946,0.094818,-0.026738,0
-2.0046,-0.49457,1.333,1.6543,1
0.48797,3.5674,-4.3882,-3.8116,1
5.1731,3.9606,-1.983,0.40774,0
-4.8426,-4.9932,10.4052,-0.53104,1
2.8209,7.3108,-0.81857,-1.8784,0
3.9362,10.1622,-3.8235,-4.0172,0
3.359,9.8022,-3.8209,-3.7133,0
-3.5681,-8.213,10.083,0.96765,1
5.7353,5.2808,-2.2598,0.075416,0
3.4916,8.5709,-3.0326,-0.59182,0
-1.1497,1.2954,7.701,0.62627,0
0.53936,3.8944,-4.8166,-4.3418,1
3.4465,2.9508,1.0271,0.5461,0
-1.8969,-6.7893,5.2761,-0.32544,1
-2.7264,3.9213,-0.49212,-3.6371,1
1.04,-6.9321,8.2888,-1.2991,0
3.9121,2.9735,0.92852,0.60558,0
-1.7589,-6.4624,8.4773,0.31981,1
3.7352,9.5911,-3.9032,-3.3487,0
-0.36279,8.2895,-1.9213,-3.3332,0
3.1452,5.825,-0.51439,-1.4944,0
1.208,4.0744,-4.7635,-2.6129,1
1.9321,6.0423,0.26019,-2.053,0
2.0153,1.8479,3.1375,0.42843,0
3.4246,-0.14693,0.80342,0.29136,0
-0.69879,-3.3771,4.1211,1.5043,1
-1.9966,-9.5001,9.682,-0.12889,1
-1.0555,0.79459,-1.6968,-0.46768,1
-0.53072,-0.097265,-0.21793,1.0426,1
3.9294,1.4112,1.8076,0.89782,0
1.6988,2.9094,2.9044,0.11033,0
-0.8471,3.1329,-3.0112,-2.9388,1
-3.0061,-12.2377,11.9552,-2.1603,1
-0.95923,-6.7128,4.9857,0.32886,1
-3.7573,-8.2916,10.3032,0.38059,1
-2.2987,-5.227,5.63,0.91722,1
0.7057,-5.4981,8.3368,-2.8715,0
2.5089,6.841,-0.029423,0.44912,0
0.27331,4.8773,-4.9194,-5.8198,1
3.2718,1.7837,2.1161,0.61334,0
4.0632,3.584,0.72545,0.39481,0
-5.873,9.1752,-0.27448,-6.0422,1
2.7744,6.8576,-1.0671,0.075416,0
-0.8734,-0.033118,-0.20165,0.55774,1
0.11032,1.9741,-3.3668,-0.65259,1
2.0911,0.94358,4.5512,1.234,0
-0.89809,-4.4862,2.2009,0.50731,1
-0.66008,-3.226,3.8058,1.1836,1
-3.3125,0.10139,0.55323,-0.2957,1
3.4591,11.112,-4.2039,-5.0931,0
5.6272,10.0857,-4.2931,-3.8142,0
-0.60975,-4.002,1.8471,0.6017,1
-3.8552,3.5219,-0.38415,-3.8608,1
-0.014902,-1.0243,-0.94024,0.64955,1
4.0127,10.1477,-3.9366,-4.0728,0
-1.7101,-8.7903,7.9735,-0.45475,1
-1.3931,1.5664,7.5382,0.78403,0
-1.8483,0.31038,0.77344,1.4189,1
-6.3364,9.2848,0.014275,-6.7844,1
0.0031201,-4.0061,1.7956,0.91722,1
1.7452,4.8028,2.0878,0.62627,0
3.1088,3.1122,0.80857,0.4336,0
-0.70867,-5.5602,4.0483,0.903,1
3.5288,0.71596,1.9507,1.9375,0
1.4501,3.6067,-4.0557,-1.5966,1
-3.9297,-6.0816,10.0958,-1.0147,1
0.88872,5.3449,2.045,-0.19355,0
4.8906,-3.3584,3.4202,1.0905,0
2.6718,5.6574,0.72974,-1.4892,0
4.8451,8.1116,-2.9512,-1.4724,0
0.12326,8.9848,-0.9351,-2.4332,0
0.5195,-3.2633,3.0895,-0.9849,0
4.364,-3.1039,2.3757,0.78532,0
0.26877,4.987,-5.1508,-6.3913,1
4.5447,8.2274,-2.4166,-1.5875,0
-1.9667,11.8052,-0.40472,-7.8719,0
-5.3857,9.1214,-0.41929,-5.9181,1
-1.1022,-5.8395,4.5641,0.68705,1
4.6439,-3.3729,2.5976,0.55257,0
-1.2846,3.2715,-1.7671,-3.2608,1
-3.7503,-13.4586,17.5932,-2.7771,1
-2.8619,4.5193,-0.58123,-4.2629,1
2.8033,9.0862,-3.3668,-1.0224,0
0.94732,-0.57113,7.1903,-0.67587,0
3.1541,-5.1711,6.5991,0.57455,0
1.742,-4.809,8.2142,-2.0659,0
0.19081,9.1297,-3.725,-5.8224,0
4.068,-2.9363,2.1992,0.50084,0
-0.49948,1.7734,-2.2469,-0.68104,1
-1.4106,-7.108,5.6454,0.31335,1
-2.1059,1.1815,-0.53324,-0.82716,1
1.0194,1.1029,-2.3,0.59395,1
0.49571,10.2243,-1.097,-4.0159,0
0.049175,6.1437,1.7828,-0.72113,0
1.4806,7.6377,-2.7876,-1.0341,0
-1.5075,1.9224,7.1466,0.89136,0
-1.3414,-2.0776,2.8093,0.60688,1
0.3798,0.7098,0.7572,-0.4444,0
-0.11783,-1.5789,8.03,-0.028031,0
-1.979,3.2301,-1.3575,-2.5819,1
5.0185,8.5978,-2.9375,-1.281,0
-3.9411,-12.8792,13.0597,-3.3125,1
-0.036127,1.525,-1.4089,-0.76121,1
1.2279,4.0309,-4.6435,-3.9125,1
2.7206,9.0821,-3.3111,-0.96811,0
-0.23356,3.2405,-3.0669,-2.7784,1
4.1373,0.49248,1.093,1.8276,0
-2.4941,3.5447,-1.3721,-2.8483,1
-4.0173,-8.3123,12.4547,-1.4375,1
0.23874,2.0879,-3.3522,-0.66553,1
3.8644,3.7061,0.70403,0.35214,0
1.4896,3.4288,-4.0309,-1.4259,1
1.5099,0.039307,6.2332,-0.30346,0
0.61652,3.8944,-4.7275,-4.3948,1
0.52855,0.96427,4.0243,-1.0483,0
3.9102,6.065,-2.4534,-0.68234,0
0.030219,-1.0512,1.4024,0.77369,1
-3.5741,3.944,-0.07912,-2.1203,1
-1.005,0.084831,-0.2462,0.45688,1
3.82,10.9279,-4.0112,-5.0284,0
-4.9447,3.3005,1.063,-1.444,1
-1.3885,12.5026,0.69118,-7.5487,0
4.1197,-2.7956,2.0707,0.67412,0
1.6408,4.2503,-4.9023,-2.6621,1
-1.3907,-1.3781,2.3055,-0.021566,1
1.5904,2.2121,-3.1183,-0.11725,1
-4.244,-13.0634,17.1116,-2.8017,1
-1.0744,-6.3113,5.355,0.80472,1
-1.9116,-6.1603,5.606,0.48533,1
-1.1005,-7.2508,6.0139,0.36895,1
2.0597,-0.99326,5.2119,-0.29312,0
4.1038,-4.8069,3.3491,-0.49225,0
3.8496,9.7939,-4.1508,-4.4582,0
-2.2918,-7.257,7.9597,0.9211,1
-2.9498,-8.273,10.2646,1.1629,1
2.1616,-6.8804,8.1517,-0.081048,0
4.3846,-4.8794,3.3662,-0.029324,0
-3.3553,0.35591,2.6473,-0.37846,1
5.8519,5.3905,-2.4037,-0.061652,0
2.888,0.44696,4.5907,-0.24398,0
-4.3967,4.9601,-0.64892,-5.4719,1
2.6648,10.754,-3.3994,-4.1685,0
0.60731,3.9544,-4.772,-4.4853,1
2.4287,9.3821,-3.2477,-1.4543,0
-2.2083,-9.1069,8.9991,-0.28406,1
3.2303,7.8384,-3.5348,-1.2151,0
2.3164,-2.628,3.1529,-0.08622,0
2.2517,-5.1422,4.2916,-1.2487,0
-4.1244,3.7909,-0.6532,-4.1802,1
1.0191,2.33,4.9334,0.82929,0
-4.1429,2.7749,0.68261,-0.71984,1
1.7748,-0.76978,5.5854,1.3039,0
-4.7331,-6.1789,11.388,-1.0741,1
-3.551,1.8955,0.1865,-2.4409,1
2.3952,9.5083,-3.1783,-3.0086,0
-2.2811,-0.85669,2.7185,0.044382,1
3.7767,9.7794,-3.9075,-3.5323,0
-3.2692,-12.7406,15.5573,-0.14182,1
-1.48,-10.5244,9.9176,-0.5026,1
0.21084,9.4359,-0.094543,-1.859,0
4.5459,8.1674,-2.4586,-1.4621,0
4.988,7.2052,-3.2846,-1.1608,0
0.5734,9.1938,-0.9094,-1.872,0
-0.77848,3.4019,-3.4859,-3.5569,1
-0.47465,-4.3496,1.9901,0.7517,1
1.3234,3.2964,0.2362,-0.11984,0
3.4642,10.6878,-3.4071,-4.109,0
1.5268,-5.5871,8.6564,-1.722,0
-0.2062,9.2207,-3.7044,-6.8103,0
5.1302,8.6703,-2.8913,-1.5086,0
3.1836,7.2321,-1.0713,-2.5909,0
2.7659,0.66216,4.1494,-0.28406,0
3.577,2.4004,1.8908,0.73231,0
-2.5346,-0.77392,3.3602,0.00171,1
-2.0441,1.2271,0.18564,-1.091,1
2.3925,9.798,-3.0361,-2.8224,0
-6.3979,6.4479,1.0836,-6.6176,1
2.2526,9.9636,-3.1749,-2.9944,0
-3.6227,3.9958,-0.35845,-3.9047,1
4.9249,0.68906,0.77344,1.2095,0
0.74521,3.6357,-4.4044,-4.1414,1
-5.0676,-5.1877,10.4266,-0.86725,1
4.8265,0.80287,1.6371,1.1875,0
-0.89569,3.0025,-3.6067,-3.4457,1
2.0177,1.7982,-2.9581,0.2099,1
-0.11996,6.8741,0.91995,-0.6694,0
3.9166,10.2491,-4.0926,-4.4659,0
-0.71494,-4.4448,2.2241,0.49826,1
1.9429,6.3961,0.092248,0.58102,0
-3.3924,3.3564,-0.72004,-3.5233,1
1.9265,7.7557,-0.16823,-3.0771,0
3.8417,10.0215,-4.2699,-4.9159,0
0.24261,0.57318,-1.9402,0.44007,1
0.51947,-3.2633,3.0895,-0.98492,0
-1.8343,-6.5907,5.6429,0.54998,1
4.3684,9.6718,-3.9606,-3.1625,0
2.2279,4.0951,-4.8037,-2.1112,1
2.229,9.6325,-3.1123,-2.7164,0
2.7161,-4.2006,4.1914,0.16981,0
2.5328,7.528,-0.41929,-2.6478,0
-4.5046,-5.8126,10.8867,-0.52846,1
0.5706,-0.0248,1.2421,-0.5621,0
-0.78289,11.3603,-0.37644,-7.0495,0
3.9414,-3.2902,3.1674,1.0866,0
-1.5252,-6.2534,5.3524,0.59912,1
1.1518,1.3864,5.2727,-0.43536,0
-3.6053,-5.974,10.0916,-0.82846,1
-0.16735,7.6274,1.2061,-3.6241,0
2.7365,-5.0325,6.6608,-0.57889,0
-1.4233,-0.98912,2.3586,0.39481,1
4.3365,-3.584,3.6884,0.74912,0
-4.0679,2.4955,0.79571,-1.1039,1
0.32444,10.067,-1.1982,-4.1284,0
2.3718,7.4908,0.015989,-1.7414,0
5.7823,5.5788,-2.4089,-0.056479,0
3.0632,-3.3315,5.1305,0.8267,0
2.7831,10.9796,-3.557,-4.4039,0
-6.5773,6.8017,0.85483,-7.5344,1
-0.7869,9.5663,-3.7867,-7.5034,0
-5.4901,9.1048,-0.38758,-5.9763,1
3.3577,-4.3062,6.0241,0.18274,0
2.3917,4.5565,-4.9888,-2.8987,1
-0.95923,0.091039,6.2204,-1.4828,0
-1.4781,0.14277,-1.1622,-0.48579,1
-1.0833,-0.31247,1.2815,0.41291,1
4.9294,0.27727,0.20792,0.33662,0
2.2546,8.0992,-0.24877,-3.2698,0
0.56953,7.6294,1.5754,-3.2233,0
-1.8411,10.8306,2.769,-3.0901,0
0.93584,8.8855,-1.6831,-1.6599,0
4.7926,1.7071,-0.051701,1.4926,0
3.966,3.9213,0.70574,0.33662,0
-3.1875,-7.5756,11.8678,-0.57889,1
4.3435,3.3295,0.83598,0.64955,0
-0.37013,-5.554,4.7749,1.547,1
0.81356,9.1566,-2.1492,-4.1814,0
-1.2943,2.6735,-0.84085,-2.0323,1
2.3136,10.6651,-3.5288,-4.7672,0
-1.8629,-0.84841,2.5377,0.097399,1
-3.5359,0.30417,0.6569,-0.2957,1
4.0948,-2.9674,2.3689,0.75429,0
-6.1536,7.9295,0.61663,-3.2646,1
0.11592,3.2219,-3.4302,-2.8457,1
-1.7976,-6.7686,6.6753,0.89912,1
-1.1667,-1.4237,2.9241,0.66119,1
-0.63298,-5.1277,4.5624,1.4797,1
-0.10234,1.8189,-2.2169,-0.56725,1
-0.2951,9.0489,-0.52725,-2.0789,0
-2.564,-1.7051,1.5026,0.32757,1
-4.8392,6.6755,-0.24278,-6.5775,1
3.6894,9.887,-4.0788,-4.3664,0
-1.5078,-7.3191,7.8981,1.2289,1
0.2952,4.8856,-5.149,-6.2323,1
2.6682,10.216,-3.4414,-4.0069,0
-2.3142,2.0838,-0.46813,-1.6767,1
1.8373,6.1292,0.84027,0.55257,0
-0.62043,0.5587,-0.38587,-0.66423,1
3.931,1.8541,-0.023425,1.2314,0
-0.98193,2.7956,-1.2341,-1.5668,1
-1.2786,-2.4087,4.5735,0.47627,1
-2.3299,-9.9532,8.4756,-1.8733,1
3.2351,9.647,-3.2074,-2.5948,0
-0.93587,-5.1008,4.5367,1.3866,1
